Recursor: Subsingleton.rec | is_sort_poly: true
Recursor: Equivalence.rec | is_sort_poly: true
Recursor: Relation.TransGen.rec | is_sort_poly: false
Recursor: Relation.TransGen.below.rec | is_sort_poly: false
Recursor: Setoid.rec | is_sort_poly: true
Recursor: Std.Associative.rec | is_sort_poly: true
Recursor: Std.Commutative.rec | is_sort_poly: true
Recursor: Std.IdempotentOp.rec | is_sort_poly: true
Recursor: Std.LeftIdentity.rec | is_sort_poly: true
Recursor: Std.LawfulLeftIdentity.rec | is_sort_poly: true
Recursor: Std.RightIdentity.rec | is_sort_poly: true
Recursor: Std.LawfulRightIdentity.rec | is_sort_poly: true
Recursor: Std.Identity.rec | is_sort_poly: true
Recursor: Std.LawfulIdentity.rec | is_sort_poly: true
Recursor: Std.LawfulCommIdentity.rec | is_sort_poly: true
Recursor: Std.Refl.rec | is_sort_poly: true
Recursor: Std.Antisymm.rec | is_sort_poly: true
Recursor: Std.Asymm.rec | is_sort_poly: true
Recursor: Std.Symm.rec | is_sort_poly: true
Recursor: Std.Total.rec | is_sort_poly: true
Recursor: Std.Irrefl.rec | is_sort_poly: true
Recursor: Std.Trichotomous.rec | is_sort_poly: true
Recursor: NeZero.rec | is_sort_poly: true
Recursor: Lean.Meta.Grind.Arith.State.rec | is_sort_poly: true
Recursor: Lean.Loop.rec | is_sort_poly: true
Recursor: LawfulHashable.rec | is_sort_poly: true
Recursor: Lean.Compiler.LCNF.Simp.Config.rec | is_sort_poly: true
Recursor: TypeName.rec | is_sort_poly: true
Recursor: Std.Slice.rec | is_sort_poly: true
Recursor: Std.Slice.Self.rec | is_sort_poly: true
Recursor: Lean.Grind.Config.rec | is_sort_poly: true
Recursor: Std.IsPreorder.rec | is_sort_poly: true
Recursor: Std.IsPartialOrder.rec | is_sort_poly: true
Recursor: MonadAttach.rec | is_sort_poly: true
Recursor: Std.IsLinearPreorder.rec | is_sort_poly: true
Recursor: Std.IsLinearOrder.rec | is_sort_poly: true
Recursor: WeaklyLawfulMonadAttach.rec | is_sort_poly: true
Recursor: Std.LawfulOrderLT.rec | is_sort_poly: true
Recursor: Std.LawfulOrderBEq.rec | is_sort_poly: true
Recursor: LawfulMonadAttach.rec | is_sort_poly: true
Recursor: Std.MinEqOr.rec | is_sort_poly: true
Recursor: Std.LawfulOrderInf.rec | is_sort_poly: true
Recursor: Lean.NameGenerator.rec | is_sort_poly: true
Recursor: Std.LawfulOrderMin.rec | is_sort_poly: true
Recursor: Std.LawfulOrderLeftLeaningMin.rec | is_sort_poly: true
Recursor: Std.MaxEqOr.rec | is_sort_poly: true
Recursor: Std.LawfulOrderSup.rec | is_sort_poly: true
Recursor: Lean.Module.rec | is_sort_poly: true
Recursor: Std.LawfulOrderMax.rec | is_sort_poly: true
Recursor: Std.LawfulOrderLeftLeaningMax.rec | is_sort_poly: true
Recursor: Lean.Meta.TransparencyMode.rec | is_sort_poly: true
Recursor: Lean.Meta.EtaStructMode.rec | is_sort_poly: true
Recursor: Alternative.rec | is_sort_poly: true
Recursor: Lean.Meta.DSimp.Config.rec | is_sort_poly: true
Recursor: Lean.Grind.ConfigInteractive.rec | is_sort_poly: true
Recursor: ToBool.rec | is_sort_poly: true
Recursor: Lean.Grind.NoopConfig.rec | is_sort_poly: true
Recursor: Lean.Grind.CutsatConfig.rec | is_sort_poly: true
Recursor: Lean.Grind.LinarithConfig.rec | is_sort_poly: true
Recursor: Lean.Meta.Simp.Config.rec | is_sort_poly: true
Recursor: Lean.Grind.OrderConfig.rec | is_sort_poly: true
Recursor: Lean.Grind.GrobnerConfig.rec | is_sort_poly: true
Recursor: MonadControl.rec | is_sort_poly: true
Recursor: MonadControlT.rec | is_sort_poly: true
Recursor: ForM.rec | is_sort_poly: true
Recursor: Lean.Meta.Simp.ConfigCtx.rec | is_sort_poly: true
Recursor: Lean.Meta.Simp.NormCastConfig.rec | is_sort_poly: true
Recursor: Lean.Meta.Occurrences.rec | is_sort_poly: true
Recursor: Lean.Meta.ExtractLetsConfig.rec | is_sort_poly: true
Recursor: Lean.Meta.LiftLetsConfig.rec | is_sort_poly: true
Recursor: MonadFinally.rec | is_sort_poly: true
Recursor: Option.Rel.rec | is_sort_poly: false
Recursor: Lean.MonadBacktrack.rec | is_sort_poly: true
Recursor: Std.Do.SVal.GetTy.rec | is_sort_poly: true
Recursor: Lake.EResult.rec | is_sort_poly: true
Recursor: Int.rec | is_sort_poly: true
Recursor: Acc.rec | is_sort_poly: true
Recursor: Acc.below.rec | is_sort_poly: true
Recursor: WellFounded.rec | is_sort_poly: true
Recursor: WellFoundedRelation.rec | is_sort_poly: true
Recursor: Prod.Lex.rec | is_sort_poly: false
Recursor: Int.NonNeg.rec | is_sort_poly: false
Recursor: Prod.RProd.rec | is_sort_poly: false
Recursor: PSigma.Lex.rec | is_sort_poly: false
Recursor: List.Lex.rec | is_sort_poly: false
Recursor: List.Lex.below.rec | is_sort_poly: false
Recursor: PSigma.RevLex.rec | is_sort_poly: false
Recursor: IntCast.rec | is_sort_poly: true
Recursor: List.Mem.rec | is_sort_poly: false
Recursor: List.Mem.below.rec | is_sort_poly: false
Recursor: List.Sublist.rec | is_sort_poly: false
Recursor: List.Sublist.below.rec | is_sort_poly: false
Recursor: List.Pairwise.rec | is_sort_poly: false
Recursor: List.Pairwise.below.rec | is_sort_poly: false
Recursor: List.Perm.rec | is_sort_poly: false
Recursor: List.Perm.below.rec | is_sort_poly: false
Recursor: Lake.MonadExit.rec | is_sort_poly: true
Recursor: Std.Format.FlattenBehavior.rec | is_sort_poly: true
Recursor: Std.Format.rec | is_sort_poly: true
Recursor: _private.Init.Data.Format.Basic.0.Std.Format.SpaceResult.rec | is_sort_poly: true
Recursor: _private.Init.Data.Format.Basic.0.Std.Format.WorkItem.rec | is_sort_poly: true
Recursor: Std.Format.FlattenAllowability.rec | is_sort_poly: true
Recursor: _private.Init.Data.Format.Basic.0.Std.Format.WorkGroup.rec | is_sort_poly: true
Recursor: Std.Format.MonadPrettyFormat.rec | is_sort_poly: true
Recursor: _private.Init.Data.Format.Basic.0.Std.Format.State.rec | is_sort_poly: true
Recursor: Std.ToFormat.rec | is_sort_poly: true
Recursor: Repr.rec | is_sort_poly: true
Recursor: ReprAtom.rec | is_sort_poly: true
Recursor: ReprTuple.rec | is_sort_poly: true
Recursor: ToString.rec | is_sort_poly: true
Recursor: Lean.Meta.Grind.CheckResult.rec | is_sort_poly: true
Recursor: FloatSpec.rec | is_sort_poly: true
Recursor: Lake.ConfigLang.rec | is_sort_poly: true
Recursor: Float.rec | is_sort_poly: true
Recursor: Lean.LBool.rec | is_sort_poly: true
Recursor: Float32.rec | is_sort_poly: true
Recursor: GetElem.rec | is_sort_poly: true
Recursor: GetElem?.rec | is_sort_poly: true
Recursor: LawfulGetElem.rec | is_sort_poly: true
Recursor: Array.Mem.rec | is_sort_poly: true
Recursor: Lean.Meta.ArgsPacker.rec | is_sort_poly: true
Recursor: Std.Slice.Internal.SubarrayData.rec | is_sort_poly: true
Recursor: Lean.MonadNameGenerator.rec | is_sort_poly: true
Recursor: Lean.Quote.rec | is_sort_poly: true
Recursor: Lean.Meta.ApplyNewGoals.rec | is_sort_poly: true
Recursor: Lean.Meta.ApplyConfig.rec | is_sort_poly: true
Recursor: Lean.Meta.Rewrite.Config.rec | is_sort_poly: true
Recursor: Lean.Meta.Omega.OmegaConfig.rec | is_sort_poly: true
